Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
"C1, C11, C12, C2, C3, C4, C9",0603,7,100nF,C14663
"C10, C13, C14, C15, C18",0805,5,10uF,C440198
"C16, C17",1206,2,100uF,C15008
"C19, C7",CP_EIA-3216-18_Kemet-A,2,10uF,C7171
C6,0805,1,10uF,C15850
C8,0603,1,4.7nF,C53987
"D1, D2, D3",SOT-23,3,BAT54C,C37704
"D10, D8",D_SMA,2,SS34, C8678
D11,D_SOD-123,1,B5819W,C8598
D12,SOT-23-3,1,ESD2CAN24DBZRQ1,
"D13, D14",D_SOD-123F,2,SM4007,C64898
D4,0805,1,LED,C2297
"D5, D9",0603,2,LED,C2286
D6,0805,1,LED,C2296
D7,0603,1,LED,C2290
F1,1206,1,Fuse 1A,
J1,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02_Pin,
"J2, J3, J4, J5, J6",Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,5,Conn_01x05_Pin,
J7,615006138421,1,RJ11,
J8,HB9500-9.5-4P,1,Screw_Terminal_01x04,
J9,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"K1, K2",Relay_SPST_Omron-G5Q-1A,2,G5Q-EL3-DC24V,
L1,IND-SMD_L7.2-W6.6_GPSR07X0,1,68uh,C5189964
"Q1, Q2",SOT-23,2,AO3400A,C20917 
"R1, R2",0603,2,60R,C23090
"R10, R12, R3, R6, R8",0603,5,27K,C22967
"R11, R4, R5, R7, R9",1206,5,4K7 0.25W,C17936
"R13, R14, R15, R16, R17",0603,5,470R,C23179
"R18, R22, R30",0603,3,4K7,C23162
R19,1206,1,10K,C17902
R20,0603,1,15K,C22809
"R21, R24, R27",0603,3,390R,C23151
R23,0603,1,47K,C25819
"R25, R29",0805,2,10K,C17414
"R26, R28",0603,2,2.2K,C4190
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C318884
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP2518FD-E/SL,C626758
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2542FD-E/SN,C220598
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186 
"U5, U6",LTV217,2,LTV-217, C115450
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0, C61063
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,YSO110TR,C5203551
