Designator,Mid X,Mid Y,Rotation,Layer
A1,95.915,-123.0,90.0,top
C1,92.5,-152.0,270.0,top
C10,149.2,-113.4,270.0,top
C11,140.8,-98.2,90.0,top
C12,143.0,-102.4,90.0,top
C13,155.8,-113.4,270.0,top
C14,153.6,-113.4,270.0,top
C15,151.4,-113.4,270.0,top
C16,146.4,-105.2,270.0,top
C17,148.8,-105.2,270.0,top
C18,147.0,-113.4,270.0,top
C19,151.2,-105.2,90.0,top
C2,85.75,-147.25,0.0,top
C3,96.75,-140.5,180.0,top
C4,104.0,-153.0,0.0,top
C6,142.8,-98.2,90.0,top
C7,141.0,-103.0,90.0,top
C8,78.5,-136.5,90.0,top
C9,144.0,-114.0,180.0,top
D1,88.02,-101.58,90.0,top
D10,151.2,-109.4,180.0,top
D11,74.75,-107.25,90.0,top
D12,78.5,-148.5,90.0,top
D13,135.0,-131.25,180.0,top
D14,152.0,-131.25,180.0,top
D2,108.02,-101.58,90.0,top
D3,122.8,-101.8,90.0,top
D4,110.0,-138.0,270.0,top
D5,142.0,-82.5,270.0,top
D6,138.5,-82.5,270.0,top
D7,135.0,-82.5,270.0,top
D8,148.5,-93.0,90.0,top
D9,85.0,-138.5,270.0,top
F1,148.5,-86.5,270.0,top
J1,155.2225,-84.45,0.0,top
J2,83.02,-88.5,90.0,top
J3,93.02,-88.5,90.0,top
J4,103.02,-88.5,90.0,top
J5,113.02,-88.5,90.0,top
J6,123.02,-88.5,90.0,top
J7,89.75,-166.068,0.0,top
J8,143.0,-161.35,0.0,top
J9,102.73,-167.0,180.0,top
K1,135.01,-144.265,270.0,top
K2,152.01,-144.265,270.0,top
L1,156.4,-103.2,90.0,top
Q1,133.75,-127.25,0.0,top
Q2,150.75,-127.25,0.0,top
R1,77.25,-139.75,270.0,top
R10,112.25,-100.0,0.0,top
R11,120.0,-98.5,180.0,top
R12,119.25,-100.5,180.0,top
R13,96.5,-99.0,270.0,top
R14,79.5,-98.75,270.0,top
R15,99.52,-99.08,270.0,top
R16,115.02,-99.08,270.0,top
R17,125.52,-99.25,270.0,top
R18,110.0,-141.5,90.0,top
R19,142.0,-86.5,90.0,top
R2,79.75,-139.75,270.0,top
R20,138.5,-86.5,90.0,top
R21,135.0,-86.5,90.0,top
R22,145.0,-83.0,90.0,top
R23,145.0,-86.0,90.0,top
R24,142.6,-117.4,0.0,top
R25,137.0,-127.25,90.0,top
R26,138.75,-127.25,270.0,top
R27,159.6,-117.6,0.0,top
R28,155.75,-127.25,270.0,top
R29,154.0,-127.25,90.0,top
R3,83.75,-100.08,180.0,top
R30,85.0,-141.5,90.0,top
R4,84.52,-98.08,180.0,top
R5,91.52,-98.08,0.0,top
R6,92.25,-100.08,0.0,top
R7,104.52,-98.08,180.0,top
R8,103.75,-100.08,180.0,top
R9,111.52,-98.08,0.0,top
SW1,95.5,-106.5,0.0,top
U2,103.0,-143.5,0.0,top
U3,87.25,-152.0,90.0,top
U4,134.8,-101.4,0.0,top
U5,139.5,-120.75,180.0,top
U6,156.5,-120.75,180.0,top
U7,142.2,-110.4,90.0,top
Y2,104.4,-150.4,0.0,top
